date,RF,LSTM,AMLSTM,Our_Model
2024-06-13 06:00:00,38.50195000000004,99.20805,89.942825,88.15395
2024-06-13 06:15:00,49.70042499999992,93.52832,86.28803,148.10263
2024-06-13 06:30:00,65.67404935873518,76.2915,106.19972,162.84903
2024-06-13 06:45:00,85.24777500000002,98.337,86.60411,204.90747
2024-06-13 07:00:00,127.32044999999988,148.49611,126.01896,235.97572
2024-06-13 07:15:00,174.21604999999977,198.98564,187.67554,283.2634
2024-06-13 07:30:00,213.7455750000003,187.31036,194.49681,309.7709
2024-06-13 07:45:00,266.40899999999976,234.75597,242.58075,345.82483
2024-06-13 08:00:00,313.7953274999997,280.5787,290.90253,369.5231
2024-06-13 08:15:00,368.4913750000001,307.9227,339.85367,397.4832
2024-06-13 08:30:00,394.2551499999996,342.81805,386.84274,423.96692
2024-06-13 08:45:00,407.6686500000012,419.50708,419.5785,439.04105
2024-06-13 09:00:00,484.7047000000006,459.75952,439.51868,469.78622
2024-06-13 09:15:00,530.7741500000006,467.9604,497.91556,513.65656
2024-06-13 09:30:00,564.5348749999998,514.9104,550.06866,562.46594
2024-06-13 09:45:00,628.8350000000002,599.3627,594.6904,565.4764
2024-06-13 10:00:00,630.6035250000008,637.3571,661.5106,586.99945
2024-06-13 10:15:00,658.8278750000001,649.6226,644.43805,632.04425
2024-06-13 10:30:00,746.2999000000003,697.4175,705.44775,646.3452
2024-06-13 10:45:00,755.0491750000012,739.04095,761.5206,669.3296
2024-06-13 11:00:00,774.5711249999993,780.1251,804.46643,725.67163
2024-06-13 11:15:00,790.3673999999997,789.0874,823.9795,742.6026
2024-06-13 11:30:00,817.5815499999997,814.71564,843.1105,751.2308
2024-06-13 11:45:00,844.9348000000012,856.8536,866.01715,762.5109
2024-06-13 12:00:00,883.736300000002,821.59155,905.20917,741.5573
2024-06-13 12:15:00,867.3538750000024,856.9928,875.359,742.9428
2024-06-13 12:30:00,898.4971250000018,854.48206,881.58575,773.86566
2024-06-13 12:45:00,888.5979000000018,870.1226,898.67535,724.70123
2024-06-13 13:00:00,894.4404749999994,841.8506,873.3473,716.78656
2024-06-13 13:15:00,927.7949249999994,846.4818,885.46375,692.0273
2024-06-13 13:30:00,891.1956749999991,874.0118,848.0479,737.24347
2024-06-13 13:45:00,846.3769750000001,807.2171,856.31085,759.6675
2024-06-13 14:00:00,794.2640499999992,796.0153,837.0734,721.07104
2024-06-13 14:15:00,765.9906000000002,751.5463,812.87787,672.128
2024-06-13 14:30:00,747.6680999999999,709.80145,791.2389,634.0993
2024-06-13 14:45:00,657.3309500000006,684.2787,774.2713,634.7787
2024-06-13 15:00:00,594.5567249999983,625.42303,706.0168,602.8825
2024-06-13 15:15:00,594.9807999999987,603.4352,660.3324,537.15485
2024-06-13 15:30:00,614.2217249999998,573.8411,627.1714,542.27313
2024-06-13 15:45:00,574.9665500000008,507.10022,588.9976,516.8604
2024-06-13 16:00:00,512.2185749999995,469.9233,557.4678,472.09854
2024-06-13 16:15:00,463.54582500000055,387.66043,505.00735,438.69012
2024-06-13 16:30:00,414.5004499999995,356.74426,452.4745,392.3052
2024-06-13 16:45:00,459.4108999999996,325.58273,402.1549,380.2531
2024-06-13 17:00:00,399.7068000000002,231.17006,342.75772,333.89804
2024-06-13 17:15:00,278.20454999999976,227.3491,281.564,311.03412
2024-06-13 17:30:00,196.2810500000008,180.82372,250.301,260.3704
2024-06-13 17:45:00,132.24397500000032,160.86101,191.28041,219.64856
2024-06-13 18:00:00,123.81139021739143,99.91381,163.4414,169.48032
2024-06-13 18:15:00,72.0497750000001,108.12274,116.54487,154.988
2024-06-13 18:30:00,54.359999999999886,82.6492,130.23851,132.94594
2024-06-13 18:45:00,37.839628947368304,56.35938,82.35654,115.265724
2024-06-13 19:00:00,20.614699999999985,49.42274,73.83518,129.1563
