date,actual,RF,LSTM,AMLSTM,Our_Model
2024-04-18 06:00:00,7.89,7.560080417864127,15.510618,0.0,17.0178
2024-04-18 06:15:00,14.71,14.237696879810434,24.394743,0.0,25.124659
2024-04-18 06:30:00,23.77,23.04667512717057,38.77443,0.0,30.641073
2024-04-18 06:45:00,36.47,35.34464862343388,40.020466,12.80526,42.65633
2024-04-18 07:00:00,54.63,52.99799353544314,69.02687,36.550667,63.217533
2024-04-18 07:15:00,76.32,74.44817884044511,86.354904,65.73055,78.944435
2024-04-18 07:30:00,103.15,100.80756110950398,133.95561,90.38213,107.235664
2024-04-18 07:45:00,134.87,131.53081696348113,139.72343,95.24711,133.5051
2024-04-18 08:00:00,167.76,163.77869644683042,182.271,161.32253,172.98466
2024-04-18 08:15:00,202.74,197.492529661856,224.72865,163.8986,197.56396
2024-04-18 08:30:00,238.89,238.3840409244352,252.07129,216.83678,234.93872
2024-04-18 08:45:00,274.49,269.86236744445586,269.71356,252.66348,259.69653
2024-04-18 09:00:00,308.72,303.82197008248977,326.96426,289.2277,303.66934
2024-04-18 09:15:00,343.63,336.703230645709,363.38937,318.3814,327.6192
2024-04-18 09:30:00,379.1,372.7795066544482,380.5716,357.96008,365.07303
2024-04-18 09:45:00,412.17,405.2034499540962,410.82874,393.21713,401.6861
2024-04-18 10:00:00,443.19,435.8473676668101,463.04712,420.713,428.2884
2024-04-18 10:15:00,468.04,460.9688797328742,473.45105,437.09167,447.5259
2024-04-18 10:30:00,490.01,484.358010010046,502.41226,468.3326,463.85043
2024-04-18 10:45:00,508.36,502.3275182895615,525.17755,486.21686,476.37997
2024-04-18 11:00:00,528.4,521.9119226125204,551.16644,518.5366,497.83203
2024-04-18 11:15:00,545.1,538.8657198904142,557.8677,536.7474,507.1005
2024-04-18 11:30:00,561.0,553.1243164240223,581.53064,545.5899,520.67084
2024-04-18 11:45:00,574.23,565.9933256303669,585.9462,558.1496,530.71954
2024-04-18 12:00:00,587.54,579.1516712501125,600.12994,568.822,545.2099
2024-04-18 12:15:00,590.53,571.307889173502,599.19696,570.18536,547.55927
2024-04-18 12:30:00,596.78,576.1784883398816,604.2598,587.59924,548.29425
2024-04-18 12:45:00,597.7,576.3933544100094,610.268,600.5502,547.4975
2024-04-18 13:00:00,596.62,579.5042735375811,586.7014,591.94415,553.9646
2024-04-18 13:15:00,585.79,567.2207528471504,575.6054,589.95355,552.55676
2024-04-18 13:30:00,580.36,561.0082302590819,564.2374,567.05554,545.9577
2024-04-18 13:45:00,575.69,559.0180807870648,561.77496,567.68414,537.77057
2024-04-18 14:00:00,558.77,543.7933497152712,526.55164,542.77936,527.7192
2024-04-18 14:15:00,538.34,514.6761607720883,513.47986,537.5506,504.0806
2024-04-18 14:30:00,515.23,489.8545998615482,490.40894,512.6919,487.8727
2024-04-18 14:45:00,489.85,466.0435798879159,454.33374,481.7444,466.31244
2024-04-18 15:00:00,455.69,440.0801536045413,433.4404,438.53265,436.46616
2024-04-18 15:15:00,426.96,409.7371697423719,406.5272,409.3816,407.29404
2024-04-18 15:30:00,396.61,379.18065174197466,360.72244,378.79547,384.8537
2024-04-18 15:45:00,360.56,343.48346121152224,323.6116,336.7102,351.9842
2024-04-18 16:00:00,319.26,307.04035623460373,288.89285,288.11908,309.5758
2024-04-18 16:15:00,281.48,270.16067131807046,250.0451,253.21005,277.88748
2024-04-18 16:30:00,243.55,231.96754323476148,211.69519,220.38226,245.39717
2024-04-18 16:45:00,207.65,195.2421433474956,195.13956,166.14409,204.94019
2024-04-18 17:00:00,169.89,158.9619281708465,149.9738,147.13432,175.2033
2024-04-18 17:15:00,135.18,125.0528131798636,110.168594,111.01289,147.65807
2024-04-18 17:30:00,105.23,97.58818007311692,84.97898,61.308376,119.59292
2024-04-18 17:45:00,77.69,71.50737112849369,72.78693,53.00919,86.261086
2024-04-18 18:00:00,54.01,49.47755368452732,47.515858,5.947351,61.06004
2024-04-18 18:15:00,35.67,32.36170487397338,18.668066,0.0,46.10376
2024-04-18 18:30:00,21.44,19.203228824152536,19.507223,0.0,36.43627
2024-04-18 18:45:00,10.93,9.701820787558598,0.5205104,0.0,17.257126
2024-04-18 19:00:00,4.04,3.5574350350751938,1.7375906,0.0,23.029142
2024-04-19 06:00:00,7.89,7.560080417864127,15.510618,0.0,8.1693945
2024-04-19 06:15:00,14.71,14.237696879810434,24.394743,0.0,11.542358
2024-04-19 06:30:00,23.77,23.04667512717057,38.77443,0.0,17.41984
2024-04-19 06:45:00,36.47,35.34464862343388,40.020466,12.80526,30.862818
2024-04-19 07:00:00,54.63,52.99799353544314,69.02687,36.550667,48.785103
2024-04-19 07:15:00,76.32,74.44817884044511,86.354904,65.73055,70.106445
2024-04-19 07:30:00,103.15,100.80756110950398,133.95561,90.38213,94.93186
2024-04-19 07:45:00,134.87,131.53081696348113,139.72343,95.24711,121.47938
2024-04-19 08:00:00,167.76,163.77869644683042,182.271,161.32253,164.92767
2024-04-19 08:15:00,202.74,197.492529661856,224.72865,163.8986,190.77747
2024-04-19 08:30:00,238.89,238.3840409244352,252.07129,216.83678,230.36143
2024-04-19 08:45:00,274.49,269.86236744445586,269.71356,252.66348,256.97836
2024-04-19 09:00:00,308.72,303.82197008248977,326.96426,289.2277,299.58142
2024-04-19 09:15:00,343.63,336.703230645709,363.38937,318.3814,327.2659
2024-04-19 09:30:00,379.1,372.7795066544482,380.5716,357.96008,364.3904
2024-04-19 09:45:00,412.17,405.2034499540962,410.82874,393.21713,404.2018
2024-04-19 10:00:00,443.19,435.8473676668101,463.04712,420.713,430.7101
2024-04-19 10:15:00,468.04,460.9688797328742,473.45105,437.09167,452.68384
2024-04-19 10:30:00,490.01,484.358010010046,502.41226,468.3326,467.11203
2024-04-19 10:45:00,508.36,502.3275182895615,525.17755,486.21686,484.51712
2024-04-19 11:00:00,528.4,521.9119226125204,551.16644,518.5366,503.265
2024-04-19 11:15:00,545.1,538.8657198904142,557.8677,536.7474,514.51904
2024-04-19 11:30:00,561.0,553.1243164240223,581.53064,545.5899,532.4227
2024-04-19 11:45:00,574.23,565.9933256303669,585.9462,558.1496,542.6216
2024-04-19 12:00:00,587.54,579.1516712501125,600.12994,568.822,554.15515
2024-04-19 12:15:00,590.53,571.307889173502,599.19696,570.18536,556.97565
2024-04-19 12:30:00,596.78,576.1784883398816,604.2598,587.59924,561.21814
2024-04-19 12:45:00,597.7,576.3933544100094,610.268,600.5502,559.08765
2024-04-19 13:00:00,596.62,579.5042735375811,586.7014,591.94415,566.24036
2024-04-19 13:15:00,585.79,567.2207528471504,575.6054,589.95355,561.6723
2024-04-19 13:30:00,580.36,561.0082302590819,564.2374,567.05554,554.1988
2024-04-19 13:45:00,575.69,559.0180807870648,561.77496,567.68414,546.277
2024-04-19 14:00:00,558.77,543.7933497152712,526.55164,542.77936,534.6804
2024-04-19 14:15:00,538.34,514.6761607720883,513.47986,537.5506,512.13873
2024-04-19 14:30:00,515.23,489.8545998615482,490.40894,512.6919,491.36514
2024-04-19 14:45:00,489.85,466.0435798879159,454.33374,481.7444,469.24756
2024-04-19 15:00:00,455.69,440.0801536045413,433.4404,438.53265,442.0064
2024-04-19 15:15:00,426.96,409.7371697423719,406.5272,409.3816,410.4132
2024-04-19 15:30:00,396.61,379.18065174197466,360.72244,378.79547,382.39944
2024-04-19 15:45:00,360.56,343.48346121152224,323.6116,336.7102,354.14227
2024-04-19 16:00:00,319.26,307.04035623460373,288.89285,288.11908,309.69446
2024-04-19 16:15:00,281.48,270.16067131807046,250.0451,253.21005,279.36642
2024-04-19 16:30:00,243.55,231.96754323476148,211.69519,220.38226,243.6156
2024-04-19 16:45:00,207.65,195.2421433474956,195.13956,166.14409,203.70122
2024-04-19 17:00:00,169.89,158.9619281708465,149.9738,147.13432,172.18344
2024-04-19 17:15:00,135.18,125.0528131798636,110.168594,111.01289,139.36537
2024-04-19 17:30:00,105.23,97.58818007311692,84.97898,61.308376,111.38177
2024-04-19 17:45:00,77.69,71.50737112849369,72.78693,53.00919,79.85075
2024-04-19 18:00:00,54.01,49.47755368452732,47.515858,5.947351,53.64801
2024-04-19 18:15:00,35.67,32.36170487397338,18.668066,0.0,41.400703
2024-04-19 18:30:00,21.44,19.203228824152536,19.507223,0.0,28.639893
2024-04-19 18:45:00,10.93,9.701820787558598,0.5205104,0.0,12.752491
2024-04-19 19:00:00,4.04,3.5574350350751938,1.7375906,0.0,12.018464
2024-04-20 06:00:00,7.89,7.560080417864127,15.510618,0.0,17.50821
2024-04-20 06:15:00,14.71,14.237696879810434,24.394743,0.0,24.825745
2024-04-20 06:30:00,23.77,23.04667512717057,38.77443,0.0,30.650389
2024-04-20 06:45:00,36.47,35.34464862343388,40.020466,12.80526,43.315765
2024-04-20 07:00:00,54.63,52.99799353544314,69.02687,36.550667,63.010284
2024-04-20 07:15:00,76.32,74.44817884044511,86.354904,65.73055,83.48867
2024-04-20 07:30:00,103.15,100.80756110950398,133.95561,90.38213,110.716835
2024-04-20 07:45:00,134.87,131.53081696348113,139.72343,95.24711,139.08864
2024-04-20 08:00:00,167.76,163.77869644683042,182.271,161.32253,178.66968
2024-04-20 08:15:00,202.74,197.492529661856,224.72865,163.8986,205.34291
2024-04-20 08:30:00,238.89,238.3840409244352,252.07129,216.83678,243.1919
2024-04-20 08:45:00,274.49,269.86236744445586,269.71356,252.66348,268.6225
2024-04-20 09:00:00,308.72,303.82197008248977,326.96426,289.2277,312.41205
2024-04-20 09:15:00,343.63,336.703230645709,363.38937,318.3814,337.18323
2024-04-20 09:30:00,379.1,372.7795066544482,380.5716,357.96008,372.36414
2024-04-20 09:45:00,412.17,405.2034499540962,410.82874,393.21713,411.7848
2024-04-20 10:00:00,443.19,435.8473676668101,463.04712,420.713,438.97565
2024-04-20 10:15:00,468.04,460.9688797328742,473.45105,437.09167,457.92395
2024-04-20 10:30:00,490.01,484.358010010046,502.41226,468.3326,470.0518
2024-04-20 10:45:00,508.36,502.3275182895615,525.17755,486.21686,484.9053
2024-04-20 11:00:00,528.4,521.9119226125204,551.16644,518.5366,505.2273
2024-04-20 11:15:00,545.1,538.8657198904142,557.8677,536.7474,518.3924
2024-04-20 11:30:00,561.0,553.1243164240223,581.53064,545.5899,533.1919
2024-04-20 11:45:00,574.23,565.9933256303669,585.9462,558.1496,541.5105
2024-04-20 12:00:00,587.54,579.1516712501125,600.12994,568.822,551.815
2024-04-20 12:15:00,590.53,571.307889173502,599.19696,570.18536,554.3234
2024-04-20 12:30:00,596.78,576.1784883398816,604.2598,587.59924,554.09875
2024-04-20 12:45:00,597.7,576.3933544100094,610.268,600.5502,555.34894
2024-04-20 13:00:00,596.62,579.5042735375811,586.7014,591.94415,562.30585
2024-04-20 13:15:00,585.79,567.2207528471504,575.6054,589.95355,557.3784
2024-04-20 13:30:00,580.36,561.0082302590819,564.2374,567.05554,549.2487
2024-04-20 13:45:00,575.69,559.0180807870648,561.77496,567.68414,541.96216
2024-04-20 14:00:00,558.77,543.7933497152712,526.55164,542.77936,532.42194
2024-04-20 14:15:00,538.34,514.6761607720883,513.47986,537.5506,509.8492
2024-04-20 14:30:00,515.23,489.8545998615482,490.40894,512.6919,491.59937
2024-04-20 14:45:00,489.85,466.0435798879159,454.33374,481.7444,473.4535
2024-04-20 15:00:00,455.69,440.0801536045413,433.4404,438.53265,444.674
2024-04-20 15:15:00,426.96,409.7371697423719,406.5272,409.3816,415.48337
2024-04-20 15:30:00,396.61,379.18065174197466,360.72244,378.79547,394.13693
2024-04-20 15:45:00,360.56,343.48346121152224,323.6116,336.7102,361.77194
2024-04-20 16:00:00,319.26,307.04035623460373,288.89285,288.11908,320.457
2024-04-20 16:15:00,281.48,270.16067131807046,250.0451,253.21005,287.68634
2024-04-20 16:30:00,243.55,231.96754323476148,211.69519,220.38226,253.55464
2024-04-20 16:45:00,207.65,195.2421433474956,195.13956,166.14409,214.2048
2024-04-20 17:00:00,169.89,158.9619281708465,149.9738,147.13432,182.20058
2024-04-20 17:15:00,135.18,125.0528131798636,110.168594,111.01289,153.30307
2024-04-20 17:30:00,105.23,97.58818007311692,84.97898,61.308376,125.125084
2024-04-20 17:45:00,77.69,71.50737112849369,72.78693,53.00919,92.79205
2024-04-20 18:00:00,54.01,49.47755368452732,47.515858,5.947351,66.23662
2024-04-20 18:15:00,35.67,32.36170487397338,18.668066,0.0,53.09906
2024-04-20 18:30:00,21.44,19.203228824152536,19.507223,0.0,42.034325
2024-04-20 18:45:00,10.93,9.701820787558598,0.5205104,0.0,24.185705
2024-04-20 19:00:00,4.04,3.5574350350751938,1.7375906,0.0,28.656551
2024-04-21 06:00:00,7.89,7.560080417864127,15.510618,0.0,29.605953
2024-04-21 06:15:00,14.71,14.237696879810434,24.394743,0.0,36.243645
2024-04-21 06:30:00,23.77,23.04667512717057,38.77443,0.0,42.573017
2024-04-21 06:45:00,36.47,35.34464862343388,40.020466,12.80526,53.58593
2024-04-21 07:00:00,54.63,52.99799353544314,69.02687,36.550667,73.21978
2024-04-21 07:15:00,76.32,74.44817884044511,86.354904,65.73055,92.00291
2024-04-21 07:30:00,103.15,100.80756110950398,133.95561,90.38213,117.433945
2024-04-21 07:45:00,134.87,131.53081696348113,139.72343,95.24711,146.3619
2024-04-21 08:00:00,167.76,163.77869644683042,182.271,161.32253,184.58986
2024-04-21 08:15:00,202.74,197.492529661856,224.72865,163.8986,211.12021
2024-04-21 08:30:00,238.89,238.3840409244352,252.07129,216.83678,246.07423
2024-04-21 08:45:00,274.49,269.86236744445586,269.71356,252.66348,268.27
2024-04-21 09:00:00,308.72,303.82197008248977,326.96426,289.2277,311.6541
2024-04-21 09:15:00,343.63,336.703230645709,363.38937,318.3814,335.60526
2024-04-21 09:30:00,379.1,372.7795066544482,380.5716,357.96008,369.10272
2024-04-21 09:45:00,412.17,405.2034499540962,410.82874,393.21713,409.0461
2024-04-21 10:00:00,443.19,435.8473676668101,463.04712,420.713,432.4332
2024-04-21 10:15:00,468.04,460.9688797328742,473.45105,437.09167,449.40674
2024-04-21 10:30:00,490.01,484.358010010046,502.41226,468.3326,460.9987
2024-04-21 10:45:00,508.36,502.3275182895615,525.17755,486.21686,476.595
2024-04-21 11:00:00,528.4,521.9119226125204,551.16644,518.5366,494.0682
2024-04-21 11:15:00,545.1,538.8657198904142,557.8677,536.7474,502.88464
2024-04-21 11:30:00,561.0,553.1243164240223,581.53064,545.5899,519.11743
2024-04-21 11:45:00,574.23,565.9933256303669,585.9462,558.1496,527.9059
2024-04-21 12:00:00,587.54,579.1516712501125,600.12994,568.822,539.7673
2024-04-21 12:15:00,590.53,571.307889173502,599.19696,570.18536,542.5346
2024-04-21 12:30:00,596.78,576.1784883398816,604.2598,587.59924,542.24426
2024-04-21 12:45:00,597.7,576.3933544100094,610.268,600.5502,542.60425
2024-04-21 13:00:00,596.62,579.5042735375811,586.7014,591.94415,549.658
2024-04-21 13:15:00,585.79,567.2207528471504,575.6054,589.95355,547.0775
2024-04-21 13:30:00,580.36,561.0082302590819,564.2374,567.05554,537.2607
2024-04-21 13:45:00,575.69,559.0180807870648,561.77496,567.68414,532.4675
2024-04-21 14:00:00,558.77,543.7933497152712,526.55164,542.77936,518.55664
2024-04-21 14:15:00,538.34,514.6761607720883,513.47986,537.5506,503.01096
2024-04-21 14:30:00,515.23,489.8545998615482,490.40894,512.6919,479.95438
2024-04-21 14:45:00,489.85,466.0435798879159,454.33374,481.7444,461.75797
2024-04-21 15:00:00,455.69,440.0801536045413,433.4404,438.53265,434.00372
2024-04-21 15:15:00,426.96,409.7371697423719,406.5272,409.3816,405.9142
2024-04-21 15:30:00,396.61,379.18065174197466,360.72244,378.79547,383.77045
2024-04-21 15:45:00,360.56,343.48346121152224,323.6116,336.7102,352.35983
2024-04-21 16:00:00,319.26,307.04035623460373,288.89285,288.11908,311.30237
2024-04-21 16:15:00,281.48,270.16067131807046,250.0451,253.21005,279.33484
2024-04-21 16:30:00,243.55,231.96754323476148,211.69519,220.38226,246.31699
2024-04-21 16:45:00,207.65,195.2421433474956,195.13956,166.14409,204.6496
2024-04-21 17:00:00,169.89,158.9619281708465,149.9738,147.13432,175.81325
2024-04-21 17:15:00,135.18,125.0528131798636,110.168594,111.01289,142.49797
2024-04-21 17:30:00,105.23,97.58818007311692,84.97898,61.308376,114.045334
2024-04-21 17:45:00,77.69,71.50737112849369,72.78693,53.00919,83.608246
2024-04-21 18:00:00,54.01,49.47755368452732,47.515858,5.947351,57.871193
2024-04-21 18:15:00,35.67,32.36170487397338,18.668066,0.0,47.847404
2024-04-21 18:30:00,21.44,19.203228824152536,19.507223,0.0,34.54174
2024-04-21 18:45:00,10.93,9.701820787558598,0.5205104,0.0,17.5649
2024-04-21 19:00:00,4.04,3.5574350350751938,1.7375906,0.0,18.536613
2024-04-22 06:00:00,7.89,7.560080417864127,15.510618,0.0,0.0
2024-04-22 06:15:00,14.71,14.237696879810434,24.394743,0.0,0.0
2024-04-22 06:30:00,23.77,23.04667512717057,38.77443,0.0,8.535327
2024-04-22 06:45:00,36.47,35.34464862343388,40.020466,12.80526,20.694317
2024-04-22 07:00:00,54.63,52.99799353544314,69.02687,36.550667,39.515224
2024-04-22 07:15:00,76.32,74.44817884044511,86.354904,65.73055,61.2492
2024-04-22 07:30:00,103.15,100.80756110950398,133.95561,90.38213,88.77872
2024-04-22 07:45:00,134.87,131.53081696348113,139.72343,95.24711,119.34295
2024-04-22 08:00:00,167.76,163.77869644683042,182.271,161.32253,160.54994
2024-04-22 08:15:00,202.74,197.492529661856,224.72865,163.8986,191.82016
2024-04-22 08:30:00,238.89,238.3840409244352,252.07129,216.83678,228.16689
2024-04-22 08:45:00,274.49,269.86236744445586,269.71356,252.66348,259.85077
2024-04-22 09:00:00,308.72,303.82197008248977,326.96426,289.2277,305.1573
2024-04-22 09:15:00,343.63,336.703230645709,363.38937,318.3814,335.89496
2024-04-22 09:30:00,379.1,372.7795066544482,380.5716,357.96008,370.32755
2024-04-22 09:45:00,412.17,405.2034499540962,410.82874,393.21713,413.92715
2024-04-22 10:00:00,443.19,435.8473676668101,463.04712,420.713,438.8148
2024-04-22 10:15:00,468.04,460.9688797328742,473.45105,437.09167,461.91238
2024-04-22 10:30:00,490.01,484.358010010046,502.41226,468.3326,481.29483
2024-04-22 10:45:00,508.36,502.3275182895615,525.17755,486.21686,498.98917
2024-04-22 11:00:00,528.4,521.9119226125204,551.16644,518.5366,518.22925
2024-04-22 11:15:00,545.1,538.8657198904142,557.8677,536.7474,531.7203
2024-04-22 11:30:00,561.0,553.1243164240223,581.53064,545.5899,546.4804
2024-04-22 11:45:00,574.23,565.9933256303669,585.9462,558.1496,555.62744
2024-04-22 12:00:00,587.54,579.1516712501125,600.12994,568.822,570.6012
2024-04-22 12:15:00,590.53,571.307889173502,599.19696,570.18536,574.7289
2024-04-22 12:30:00,596.78,576.1784883398816,604.2598,587.59924,579.0351
2024-04-22 12:45:00,597.7,576.3933544100094,610.268,600.5502,577.47614
2024-04-22 13:00:00,596.62,579.5042735375811,586.7014,591.94415,580.79407
2024-04-22 13:15:00,585.79,567.2207528471504,575.6054,589.95355,576.8848
2024-04-22 13:30:00,580.36,561.0082302590819,564.2374,567.05554,571.657
2024-04-22 13:45:00,575.69,559.0180807870648,561.77496,567.68414,560.8704
2024-04-22 14:00:00,558.77,543.7933497152712,526.55164,542.77936,547.611
2024-04-22 14:15:00,538.34,514.6761607720883,513.47986,537.5506,521.5017
2024-04-22 14:30:00,515.23,489.8545998615482,490.40894,512.6919,498.39005
2024-04-22 14:45:00,489.85,466.0435798879159,454.33374,481.7444,473.46097
2024-04-22 15:00:00,455.69,440.0801536045413,433.4404,438.53265,444.19913
2024-04-22 15:15:00,426.96,409.7371697423719,406.5272,409.3816,414.60767
2024-04-22 15:30:00,396.61,379.18065174197466,360.72244,378.79547,383.42422
2024-04-22 15:45:00,360.56,343.48346121152224,323.6116,336.7102,350.8167
2024-04-22 16:00:00,319.26,307.04035623460373,288.89285,288.11908,305.6188
2024-04-22 16:15:00,281.48,270.16067131807046,250.0451,253.21005,270.83835
2024-04-22 16:30:00,243.55,231.96754323476148,211.69519,220.38226,232.16936
2024-04-22 16:45:00,207.65,195.2421433474956,195.13956,166.14409,189.79489
2024-04-22 17:00:00,169.89,158.9619281708465,149.9738,147.13432,155.77065
2024-04-22 17:15:00,135.18,125.0528131798636,110.168594,111.01289,123.270485
2024-04-22 17:30:00,105.23,97.58818007311692,84.97898,61.308376,90.07936
2024-04-22 17:45:00,77.69,71.50737112849369,72.78693,53.00919,60.936714
2024-04-22 18:00:00,54.01,49.47755368452732,47.515858,5.947351,32.721695
2024-04-22 18:15:00,35.67,32.36170487397338,18.668066,0.0,21.786407
2024-04-22 18:30:00,21.44,19.203228824152536,19.507223,0.0,6.135227
2024-04-22 18:45:00,10.93,9.701820787558598,0.5205104,0.0,0.0
2024-04-22 19:00:00,4.04,3.5574350350751938,1.7375906,0.0,0.0
2024-04-23 06:00:00,7.89,7.560080417864127,15.510618,0.0,52.932594
2024-04-23 06:15:00,14.71,14.237696879810434,24.394743,0.0,63.093056
2024-04-23 06:30:00,23.77,23.04667512717057,38.77443,0.0,61.492973
2024-04-23 06:45:00,36.47,35.34464862343388,40.020466,12.80526,74.33322
2024-04-23 07:00:00,54.63,52.99799353544314,69.02687,36.550667,88.4281
2024-04-23 07:15:00,76.32,74.44817884044511,86.354904,65.73055,101.155075
2024-04-23 07:30:00,103.15,100.80756110950398,133.95561,90.38213,127.32008
2024-04-23 07:45:00,134.87,131.53081696348113,139.72343,95.24711,149.99179
2024-04-23 08:00:00,167.76,163.77869644683042,182.271,161.32253,181.2778
