date,time,PredictedPV
6/16/2023,06:00,
6/16/2023,06:15,
6/16/2023,06:30,
6/16/2023,06:45,
6/16/2023,07:00,
6/16/2023,07:15,
6/16/2023,07:30,
6/16/2023,07:45,
6/16/2023,08:00,
6/16/2023,08:15,
6/16/2023,08:30,
6/16/2023,08:45,
6/16/2023,09:00,
6/16/2023,09:15,
6/16/2023,09:30,
6/16/2023,09:45,
6/16/2023,10:00,
6/16/2023,10:15,
6/16/2023,10:30,
6/16/2023,10:45,
6/16/2023,11:00,
6/16/2023,11:15,
6/16/2023,11:30,
6/16/2023,11:45,
6/16/2023,12:00,
6/16/2023,12:15,
6/16/2023,12:30,
6/16/2023,12:45,
6/16/2023,13:00,
6/16/2023,13:15,
6/16/2023,13:30,
6/16/2023,13:45,
6/16/2023,14:00,
6/16/2023,14:15,
6/16/2023,14:30,
6/16/2023,14:45,
6/16/2023,15:00,
6/16/2023,15:15,
6/16/2023,15:30,
6/16/2023,15:45,
6/16/2023,16:00,
6/16/2023,16:15,
6/16/2023,16:30,
6/16/2023,16:45,
6/16/2023,17:00,
6/16/2023,17:15,
6/16/2023,17:30,
6/16/2023,17:45,
6/16/2023,18:00,
6/16/2023,18:15,
6/16/2023,18:30,
6/16/2023,18:45,
6/16/2023,19:00,
