date,time,PredictedPV
2/26/2024,06:00,192.84727478027344
2/26/2024,06:15,199.41539001464844
2/26/2024,06:30,159.62442016601562
2/26/2024,06:45,182.1479949951172
2/26/2024,07:00,145.94911193847656
2/26/2024,07:15,162.70513916015625
2/26/2024,07:30,160.2264862060547
2/26/2024,07:45,226.13917541503906
2/26/2024,08:00,249.26925659179688
2/26/2024,08:15,286.4664611816406
2/26/2024,08:30,327.67962646484375
2/26/2024,08:45,365.6127014160156
2/26/2024,09:00,440.57391357421875
2/26/2024,09:15,402.99505615234375
2/26/2024,09:30,480.0114440917969
2/26/2024,09:45,493.5541076660156
2/26/2024,10:00,549.432861328125
2/26/2024,10:15,569.3017578125
2/26/2024,10:30,593.0758056640625
2/26/2024,10:45,644.3663940429688
2/26/2024,11:00,670.4469604492188
2/26/2024,11:15,671.7470703125
2/26/2024,11:30,654.0660400390625
2/26/2024,11:45,699.3729248046875
2/26/2024,12:00,727.3998413085938
2/26/2024,12:15,692.173828125
2/26/2024,12:30,690.306640625
2/26/2024,12:45,655.4833374023438
2/26/2024,13:00,673.3077392578125
2/26/2024,13:15,645.5860595703125
2/26/2024,13:30,601.4100341796875
2/26/2024,13:45,573.8262329101562
2/26/2024,14:00,562.7593383789062
2/26/2024,14:15,538.4788208007812
2/26/2024,14:30,503.70477294921875
2/26/2024,14:45,435.5545959472656
2/26/2024,15:00,390.88702392578125
2/26/2024,15:15,304.29254150390625
2/26/2024,15:30,300.182373046875
2/26/2024,15:45,276.1690368652344
2/26/2024,16:00,218.1892547607422
2/26/2024,16:15,198.9828338623047
2/26/2024,16:30,174.63723754882812
2/26/2024,16:45,194.86505126953125
2/26/2024,17:00,127.53543853759766
2/26/2024,17:15,160.79469299316406
2/26/2024,17:30,200.09326171875
2/26/2024,17:45,192.63845825195312
2/26/2024,18:00,240.3234405517578
2/26/2024,18:15,248.26524353027344
2/26/2024,18:30,281.88177490234375
2/26/2024,18:45,332.1935119628906
2/26/2024,19:00,382.4974060058594
