date,time,PredictedPV
2/26/2024,06:00,204.57212829589844
2/26/2024,06:15,331.05230712890625
2/26/2024,06:30,310.9430236816406
2/26/2024,06:45,157.8863983154297
2/26/2024,07:00,211.75070190429688
2/26/2024,07:15,194.01821899414062
2/26/2024,07:30,96.77644348144531
2/26/2024,07:45,327.3222961425781
2/26/2024,08:00,248.83932495117188
2/26/2024,08:15,86.3006591796875
2/26/2024,08:30,235.45423889160156
2/26/2024,08:45,109.33536529541016
2/26/2024,09:00,211.11854553222656
2/26/2024,09:15,249.85060119628906
2/26/2024,09:30,242.41744995117188
2/26/2024,09:45,437.9476318359375
2/26/2024,10:00,416.2261047363281
2/26/2024,10:15,288.1031799316406
2/26/2024,10:30,350.2549743652344
2/26/2024,10:45,391.2044372558594
2/26/2024,11:00,484.2534484863281
2/26/2024,11:15,553.7642822265625
2/26/2024,11:30,547.8233642578125
2/26/2024,11:45,589.039794921875
2/26/2024,12:00,511.8190002441406
2/26/2024,12:15,500.8677978515625
2/26/2024,12:30,688.9559326171875
2/26/2024,12:45,465.1273498535156
2/26/2024,13:00,499.4875793457031
2/26/2024,13:15,537.7946166992188
2/26/2024,13:30,614.991455078125
2/26/2024,13:45,545.3982543945312
2/26/2024,14:00,368.0281066894531
2/26/2024,14:15,530.90966796875
2/26/2024,14:30,365.5252685546875
2/26/2024,14:45,443.2489929199219
2/26/2024,15:00,274.25946044921875
2/26/2024,15:15,531.52197265625
2/26/2024,15:30,527.6951293945312
2/26/2024,15:45,402.3338928222656
2/26/2024,16:00,384.3994140625
2/26/2024,16:15,412.8358459472656
2/26/2024,16:30,298.1183166503906
2/26/2024,16:45,376.53729248046875
2/26/2024,17:00,117.85991668701172
2/26/2024,17:15,245.1289825439453
2/26/2024,17:30,199.16525268554688
2/26/2024,17:45,403.08233642578125
2/26/2024,18:00,71.88581848144531
2/26/2024,18:15,203.41256713867188
2/26/2024,18:30,102.34564971923828
2/26/2024,18:45,495.8660583496094
2/26/2024,19:00,0.0
