date,time,PredictedPV
2/26/2024,06:00,348.8672790527344
2/26/2024,06:15,309.17596435546875
2/26/2024,06:30,21.324134826660156
2/26/2024,06:45,121.38331604003906
2/26/2024,07:00,101.57727813720703
2/26/2024,07:15,0.0
2/26/2024,07:30,155.33396911621094
2/26/2024,07:45,378.10638427734375
2/26/2024,08:00,309.28167724609375
2/26/2024,08:15,328.3450927734375
2/26/2024,08:30,225.24154663085938
2/26/2024,08:45,264.19500732421875
2/26/2024,09:00,349.3453674316406
2/26/2024,09:15,521.71435546875
2/26/2024,09:30,516.179443359375
2/26/2024,09:45,482.8887023925781
2/26/2024,10:00,482.51751708984375
2/26/2024,10:15,534.372314453125
2/26/2024,10:30,683.42724609375
2/26/2024,10:45,663.2622680664062
2/26/2024,11:00,602.30859375
2/26/2024,11:15,531.2466430664062
2/26/2024,11:30,416.91729736328125
2/26/2024,11:45,631.0830688476562
2/26/2024,12:00,766.9684448242188
2/26/2024,12:15,599.7611083984375
2/26/2024,12:30,608.8845825195312
2/26/2024,12:45,692.3839721679688
2/26/2024,13:00,575.7122192382812
2/26/2024,13:15,672.2783813476562
2/26/2024,13:30,315.4253845214844
2/26/2024,13:45,623.5698852539062
2/26/2024,14:00,557.4132080078125
2/26/2024,14:15,727.3460693359375
2/26/2024,14:30,670.8983154296875
2/26/2024,14:45,517.4697265625
2/26/2024,15:00,557.2312622070312
2/26/2024,15:15,501.7627258300781
2/26/2024,15:30,393.7308349609375
2/26/2024,15:45,436.1198425292969
2/26/2024,16:00,341.1445007324219
2/26/2024,16:15,221.81436157226562
2/26/2024,16:30,323.55999755859375
2/26/2024,16:45,238.82411193847656
2/26/2024,17:00,234.1319580078125
2/26/2024,17:15,256.16632080078125
2/26/2024,17:30,191.4785919189453
2/26/2024,17:45,56.404510498046875
2/26/2024,18:00,186.53948974609375
2/26/2024,18:15,221.20745849609375
2/26/2024,18:30,332.027587890625
2/26/2024,18:45,0.0
2/26/2024,19:00,0.0
