date,time,PredictedPV
2/26/2024,06:00,362.1883850097656
2/26/2024,06:15,9.28775405883789
2/26/2024,06:30,127.27005004882812
2/26/2024,06:45,223.8935089111328
2/26/2024,07:00,87.36300659179688
2/26/2024,07:15,368.1379089355469
2/26/2024,07:30,236.44351196289062
2/26/2024,07:45,110.53717041015625
2/26/2024,08:00,177.9870147705078
2/26/2024,08:15,235.49610900878906
2/26/2024,08:30,594.1033935546875
2/26/2024,08:45,235.36180114746094
2/26/2024,09:00,346.0739440917969
2/26/2024,09:15,317.4703674316406
2/26/2024,09:30,417.2341613769531
2/26/2024,09:45,192.9987335205078
2/26/2024,10:00,348.9988708496094
2/26/2024,10:15,644.7257080078125
2/26/2024,10:30,503.6931457519531
2/26/2024,10:45,479.79925537109375
2/26/2024,11:00,368.74127197265625
2/26/2024,11:15,601.94140625
2/26/2024,11:30,540.2098999023438
2/26/2024,11:45,537.0222778320312
2/26/2024,12:00,597.7466430664062
2/26/2024,12:15,468.42083740234375
2/26/2024,12:30,531.4785766601562
2/26/2024,12:45,649.8746337890625
2/26/2024,13:00,632.3811645507812
2/26/2024,13:15,460.8021545410156
2/26/2024,13:30,403.119384765625
2/26/2024,13:45,560.8966674804688
2/26/2024,14:00,539.4896850585938
2/26/2024,14:15,586.7247314453125
2/26/2024,14:30,308.27032470703125
2/26/2024,14:45,174.74801635742188
2/26/2024,15:00,493.3030090332031
2/26/2024,15:15,607.2774658203125
2/26/2024,15:30,339.76470947265625
2/26/2024,15:45,410.3134460449219
2/26/2024,16:00,209.37451171875
2/26/2024,16:15,304.58746337890625
2/26/2024,16:30,427.91790771484375
2/26/2024,16:45,207.3663330078125
2/26/2024,17:00,193.8533935546875
2/26/2024,17:15,361.94683837890625
2/26/2024,17:30,79.59261322021484
2/26/2024,17:45,94.25251770019531
2/26/2024,18:00,284.1638488769531
2/26/2024,18:15,199.00341796875
2/26/2024,18:30,66.2498779296875
2/26/2024,18:45,234.5118865966797
2/26/2024,19:00,135.44837951660156
