date,time,PredictedPV
2/26/2024,06:00,0.0
2/26/2024,06:15,300.7611083984375
2/26/2024,06:30,115.54420471191406
2/26/2024,06:45,40.267250061035156
2/26/2024,07:00,257.51312255859375
2/26/2024,07:15,1.1511160135269165
2/26/2024,07:30,135.24502563476562
2/26/2024,07:45,86.41935729980469
2/26/2024,08:00,384.5209045410156
2/26/2024,08:15,175.8611297607422
2/26/2024,08:30,178.76675415039062
2/26/2024,08:45,154.55545043945312
2/26/2024,09:00,246.39523315429688
2/26/2024,09:15,350.0067138671875
2/26/2024,09:30,389.4215087890625
2/26/2024,09:45,403.3600769042969
2/26/2024,10:00,624.0010986328125
2/26/2024,10:15,379.263671875
2/26/2024,10:30,344.09698486328125
2/26/2024,10:45,612.6514282226562
2/26/2024,11:00,431.0540466308594
2/26/2024,11:15,736.8012084960938
2/26/2024,11:30,573.06982421875
2/26/2024,11:45,678.3119506835938
2/26/2024,12:00,784.465576171875
2/26/2024,12:15,420.26385498046875
2/26/2024,12:30,522.2042846679688
2/26/2024,12:45,425.0888671875
2/26/2024,13:00,624.403076171875
2/26/2024,13:15,630.2156982421875
2/26/2024,13:30,550.4009399414062
2/26/2024,13:45,440.7337341308594
2/26/2024,14:00,544.7838745117188
2/26/2024,14:15,680.82861328125
2/26/2024,14:30,459.7098083496094
2/26/2024,14:45,741.6957397460938
2/26/2024,15:00,473.861328125
2/26/2024,15:15,574.1981201171875
2/26/2024,15:30,586.7611694335938
2/26/2024,15:45,597.5597534179688
2/26/2024,16:00,504.28070068359375
2/26/2024,16:15,143.3866424560547
2/26/2024,16:30,295.5348205566406
2/26/2024,16:45,101.77592468261719
2/26/2024,17:00,177.3516845703125
2/26/2024,17:15,0.0
2/26/2024,17:30,305.3841857910156
2/26/2024,17:45,309.71112060546875
2/26/2024,18:00,187.36935424804688
2/26/2024,18:15,46.6702880859375
2/26/2024,18:30,142.44259643554688
2/26/2024,18:45,27.74476432800293
2/26/2024,19:00,135.3358917236328
