date,time,PredictedPV
2/26/2024,06:00,104.37948608398438
2/26/2024,06:15,173.087158203125
2/26/2024,06:30,9.030664443969727
2/26/2024,06:45,157.7491455078125
2/26/2024,07:00,198.466064453125
2/26/2024,07:15,234.3040771484375
2/26/2024,07:30,272.4300842285156
2/26/2024,07:45,200.4106903076172
2/26/2024,08:00,335.4195861816406
2/26/2024,08:15,100.77462768554688
2/26/2024,08:30,285.87347412109375
2/26/2024,08:45,190.0644073486328
2/26/2024,09:00,237.6689910888672
2/26/2024,09:15,457.5712890625
2/26/2024,09:30,365.67535400390625
2/26/2024,09:45,422.4526672363281
2/26/2024,10:00,503.989013671875
2/26/2024,10:15,467.7580871582031
2/26/2024,10:30,561.3362426757812
2/26/2024,10:45,563.9984130859375
2/26/2024,11:00,734.9446411132812
2/26/2024,11:15,549.8898315429688
2/26/2024,11:30,652.8163452148438
2/26/2024,11:45,588.7341918945312
2/26/2024,12:00,619.2144165039062
2/26/2024,12:15,731.2545776367188
2/26/2024,12:30,646.0509643554688
2/26/2024,12:45,306.7360534667969
2/26/2024,13:00,733.964111328125
2/26/2024,13:15,637.0374755859375
2/26/2024,13:30,679.7909545898438
2/26/2024,13:45,347.4314270019531
2/26/2024,14:00,624.2332763671875
2/26/2024,14:15,564.1567993164062
2/26/2024,14:30,421.0690612792969
2/26/2024,14:45,269.14361572265625
2/26/2024,15:00,199.0073699951172
2/26/2024,15:15,324.67315673828125
2/26/2024,15:30,327.6055603027344
2/26/2024,15:45,311.6863098144531
2/26/2024,16:00,482.39178466796875
2/26/2024,16:15,189.1587677001953
2/26/2024,16:30,383.5789489746094
2/26/2024,16:45,137.72482299804688
2/26/2024,17:00,166.0577392578125
2/26/2024,17:15,47.69680404663086
2/26/2024,17:30,69.91348266601562
2/26/2024,17:45,166.34762573242188
2/26/2024,18:00,56.172977447509766
2/26/2024,18:15,0.0
2/26/2024,18:30,138.80130004882812
2/26/2024,18:45,0.0
2/26/2024,19:00,0.0
